x-axis,1,2,3
second,Volt,Volt,Volt
+95.000E-03,+2.593750E+00,+3.206250E+00,+2.987500E+00
+95.100E-03,+2.343750E+00,+2.956250E+00,+2.675000E+00
+95.200E-03,+2.125000E+00,+2.643750E+00,+2.425000E+00
+95.300E-03,+1.937500E+00,+2.362500E+00,+2.143750E+00
+95.400E-03,+1.812500E+00,+2.081250E+00,+1.862500E+00
+95.500E-03,+1.687500E+00,+1.893750E+00,+1.612500E+00
+95.600E-03,+1.687500E+00,+1.675000E+00,+1.487500E+00
+95.700E-03,+1.750000E+00,+1.518750E+00,+1.425000E+00
+95.800E-03,+1.843750E+00,+1.487500E+00,+1.456250E+00
+95.900E-03,+2.000000E+00,+1.456250E+00,+1.550000E+00
+96.000E-03,+2.218750E+00,+1.581250E+00,+1.706250E+00
+96.100E-03,+2.437500E+00,+1.800000E+00,+1.987500E+00
+96.200E-03,+2.750000E+00,+2.081250E+00,+2.268750E+00
+96.300E-03,+2.968750E+00,+2.331250E+00,+2.581250E+00
+96.400E-03,+3.218750E+00,+2.643750E+00,+2.956250E+00
+96.500E-03,+3.375000E+00,+2.956250E+00,+3.268750E+00
+96.600E-03,+3.468750E+00,+3.268750E+00,+3.518750E+00
+96.700E-03,+3.500000E+00,+3.518750E+00,+3.768750E+00
+96.800E-03,+3.500000E+00,+3.737500E+00,+3.862500E+00
+96.900E-03,+3.406250E+00,+3.831250E+00,+3.862500E+00
+97.000E-03,+3.218750E+00,+3.831250E+00,+3.800000E+00
+97.100E-03,+3.031250E+00,+3.737500E+00,+3.612500E+00
+97.200E-03,+2.718750E+00,+3.550000E+00,+3.362500E+00
+97.300E-03,+2.468750E+00,+3.300000E+00,+3.050000E+00
+97.400E-03,+2.218750E+00,+2.956250E+00,+2.675000E+00
+97.500E-03,+1.937500E+00,+2.612500E+00,+2.300000E+00
+97.600E-03,+1.812500E+00,+2.268750E+00,+1.956250E+00
+97.700E-03,+1.687500E+00,+1.925000E+00,+1.675000E+00
+97.800E-03,+1.687500E+00,+1.643750E+00,+1.456250E+00
+97.900E-03,+1.781250E+00,+1.487500E+00,+1.331250E+00
+98.000E-03,+1.937500E+00,+1.331250E+00,+1.393750E+00
+98.100E-03,+2.156250E+00,+1.456250E+00,+1.581250E+00
+98.200E-03,+2.406250E+00,+1.581250E+00,+1.768750E+00
+98.300E-03,+2.750000E+00,+1.831250E+00,+2.050000E+00
+98.400E-03,+3.000000E+00,+2.143750E+00,+2.456250E+00
+98.500E-03,+3.218750E+00,+2.550000E+00,+2.862500E+00
+98.600E-03,+3.406250E+00,+2.925000E+00,+3.300000E+00
+98.700E-03,+3.500000E+00,+3.300000E+00,+3.581250E+00
+98.800E-03,+3.531250E+00,+3.581250E+00,+3.831250E+00
+98.900E-03,+3.468750E+00,+3.800000E+00,+3.956250E+00
+99.000E-03,+3.250000E+00,+3.893750E+00,+3.925000E+00
+99.100E-03,+3.031250E+00,+3.862500E+00,+3.768750E+00
+99.200E-03,+2.718750E+00,+3.706250E+00,+3.550000E+00
+99.300E-03,+2.406250E+00,+3.456250E+00,+3.175000E+00
+99.400E-03,+2.156250E+00,+3.081250E+00,+2.737500E+00
+99.500E-03,+1.906250E+00,+2.643750E+00,+2.268750E+00
+99.600E-03,+1.750000E+00,+2.237500E+00,+1.862500E+00
+99.700E-03,+1.687500E+00,+1.862500E+00,+1.581250E+00
+99.800E-03,+1.750000E+00,+1.550000E+00,+1.362500E+00
+99.900E-03,+1.906250E+00,+1.393750E+00,+1.300000E+00
+100.000E-03,+2.156250E+00,+1.331250E+00,+1.393750E+00
+100.100E-03,+2.406250E+00,+1.456250E+00,+1.612500E+00
+100.200E-03,+2.750000E+00,+1.706250E+00,+1.956250E+00
+100.300E-03,+3.093750E+00,+2.050000E+00,+2.425000E+00
+100.400E-03,+3.281250E+00,+2.425000E+00,+2.831250E+00
+100.500E-03,+3.500000E+00,+2.893750E+00,+3.331250E+00
+100.600E-03,+3.531250E+00,+3.300000E+00,+3.643750E+00
+100.700E-03,+3.500000E+00,+3.643750E+00,+3.925000E+00
+100.800E-03,+3.281250E+00,+3.862500E+00,+4.018750E+00
+100.900E-03,+3.031250E+00,+3.925000E+00,+3.956250E+00
+101.000E-03,+2.781250E+00,+3.831250E+00,+3.737500E+00
+101.100E-03,+2.406250E+00,+3.581250E+00,+3.362500E+00
+101.200E-03,+2.125000E+00,+3.237500E+00,+2.893750E+00
+101.300E-03,+1.906250E+00,+2.800000E+00,+2.425000E+00
+101.400E-03,+1.750000E+00,+2.300000E+00,+1.956250E+00
+101.500E-03,+1.687500E+00,+1.893750E+00,+1.550000E+00
+101.600E-03,+1.812500E+00,+1.581250E+00,+1.362500E+00
+101.700E-03,+2.000000E+00,+1.362500E+00,+1.300000E+00
+101.800E-03,+2.250000E+00,+1.331250E+00,+1.393750E+00
+101.900E-03,+2.625000E+00,+1.456250E+00,+1.675000E+00
+102.000E-03,+2.937500E+00,+1.737500E+00,+2.081250E+00
+102.100E-03,+3.281250E+00,+2.143750E+00,+2.550000E+00
+102.200E-03,+3.437500E+00,+2.643750E+00,+3.081250E+00
+102.300E-03,+3.531250E+00,+3.081250E+00,+3.487500E+00
+102.400E-03,+3.468750E+00,+3.518750E+00,+3.862500E+00
+102.500E-03,+3.281250E+00,+3.831250E+00,+4.050000E+00
+102.600E-03,+3.031250E+00,+3.925000E+00,+4.018750E+00
+102.700E-03,+2.687500E+00,+3.893750E+00,+3.768750E+00
+102.800E-03,+2.343750E+00,+3.675000E+00,+3.425000E+00
+102.900E-03,+2.031250E+00,+3.300000E+00,+2.893750E+00
+103.000E-03,+1.812500E+00,+2.831250E+00,+2.362500E+00
+103.100E-03,+1.687500E+00,+2.331250E+00,+1.893750E+00
+103.200E-03,+1.718750E+00,+1.893750E+00,+1.487500E+00
+103.300E-03,+1.906250E+00,+1.518750E+00,+1.300000E+00
+103.400E-03,+2.156250E+00,+1.331250E+00,+1.300000E+00
+103.500E-03,+2.562500E+00,+1.362500E+00,+1.425000E+00
+103.600E-03,+2.875000E+00,+1.550000E+00,+1.800000E+00
+103.700E-03,+3.187500E+00,+1.956250E+00,+2.300000E+00
+103.800E-03,+3.406250E+00,+2.393750E+00,+2.862500E+00
+103.900E-03,+3.531250E+00,+2.893750E+00,+3.362500E+00
+104.000E-03,+3.437500E+00,+3.362500E+00,+3.768750E+00
+104.100E-03,+3.312500E+00,+3.737500E+00,+4.018750E+00
+104.200E-03,+3.000000E+00,+3.893750E+00,+4.018750E+00
+104.300E-03,+2.656250E+00,+3.925000E+00,+3.768750E+00
+104.400E-03,+2.250000E+00,+3.706250E+00,+3.425000E+00
+104.500E-03,+1.968750E+00,+3.268750E+00,+2.925000E+00
+104.600E-03,+1.750000E+00,+2.831250E+00,+2.362500E+00
+104.700E-03,+1.718750E+00,+2.300000E+00,+1.862500E+00
+104.800E-03,+1.781250E+00,+1.831250E+00,+1.487500E+00
+104.900E-03,+2.062500E+00,+1.518750E+00,+1.268750E+00
+105.000E-03,+2.375000E+00,+1.331250E+00,+1.331250E+00
+105.100E-03,+2.750000E+00,+1.425000E+00,+1.612500E+00
+105.200E-03,+3.093750E+00,+1.643750E+00,+2.018750E+00
+105.300E-03,+3.375000E+00,+2.112500E+00,+2.550000E+00
+105.400E-03,+3.500000E+00,+2.612500E+00,+3.143750E+00
+105.500E-03,+3.500000E+00,+3.143750E+00,+3.581250E+00
+105.600E-03,+3.343750E+00,+3.581250E+00,+3.893750E+00
+105.700E-03,+2.968750E+00,+3.862500E+00,+4.018750E+00
+105.800E-03,+2.625000E+00,+3.862500E+00,+3.925000E+00
+105.900E-03,+2.250000E+00,+3.737500E+00,+3.487500E+00
+106.000E-03,+1.968750E+00,+3.362500E+00,+3.018750E+00
+106.100E-03,+1.750000E+00,+2.893750E+00,+2.425000E+00
+106.200E-03,+1.687500E+00,+2.331250E+00,+1.925000E+00
+106.300E-03,+1.812500E+00,+1.893750E+00,+1.487500E+00
+106.400E-03,+2.156250E+00,+1.550000E+00,+1.331250E+00
+106.500E-03,+2.500000E+00,+1.362500E+00,+1.393750E+00
+106.600E-03,+2.875000E+00,+1.456250E+00,+1.643750E+00
